,state,distnum,distid,party,partname,yearel,origvote,totvote,highestvote,sechighestvote,uniqid,officeexp,share,w_share,inc,next,next_tv
2913,13,20,66,100,D,1978,57452.0,75936.0,57452.0,11661.0,29811,1,0.8312763155990913,0.8312763155990913,1,0.966641915199594,102842.0
2919,13,20,66,100,D,1984,102842.0,213349.0,102842.0,3549.0,28240,0,0.966641915199594,0.966641915199594,1,0.48845819777113664,66359.0
2920,13,20,66,100,D,1986,66359.0,148920.0,69495.0,66359.0,1402,3,0.48845819777113664,0.5115418022288634,0,0.5461679826482749,102235.0
2922,13,20,66,100,D,1988,102235.0,203263.0,102235.0,84951.0,17257,0,0.5461679826482749,0.5461679826482749,1,0.3031347181765009,52345.0
2928,13,20,66,100,D,1994,52345.0,178291.0,120334.0,52345.0,14968,0,0.3031347181765009,0.696865281823499,0,0.3883237196294354,77756.0
2934,13,21,67,100,D,1946,40652.0,101908.0,40652.0,37136.0,10023,0,0.5225998868720111,0.5225998868720111,1,0.5246294041070004,49972.0
2936,13,21,67,100,D,1948,49972.0,131181.0,49972.0,45280.0,21068,0,0.5246294041070004,0.5246294041070004,1,0.8390523132305696,80179.0
2948,13,21,67,100,D,1964,80179.0,108994.0,80179.0,15380.0,25565,0,0.8390523132305696,0.8390523132305696,1,0.8143090063273152,54439.0
2950,13,21,67,100,D,1966,54439.0,75587.0,54439.0,12414.0,25565,1,0.8143090063273152,0.8143090063273152,1,0.8454495836047679,48019.0
2952,13,21,67,100,D,1968,48019.0,66731.0,48019.0,8778.0,26207,0,0.8454495836047679,0.8454495836047679,1,0.963635674199909,25413.0
2957,13,21,67,100,D,1974,25413.0,28984.0,25413.0,959.0,2327,2,0.963635674199909,0.963635674199909,1,0.9841723572071357,37184.0
2958,13,21,67,100,D,1976,37184.0,41883.0,37184.0,598.0,2327,3,0.9841723572071357,0.9841723572071357,1,0.9765375211585481,20769.0
2959,13,21,67,100,D,1978,20769.0,24449.0,20769.0,499.0,10718,0,0.9765375211585481,0.9765375211585481,1,0.23884767890378442,44274.0
2963,13,21,67,100,D,1984,44274.0,204327.0,141091.0,44274.0,11869,0,0.23884767890378442,0.7611523210962156,0,0.24082839733838687,28339.0
2965,13,21,67,100,D,1986,28339.0,133397.0,89334.0,28339.0,11869,0,0.24082839733838687,0.7591716026616131,0,0.26062038827996276,47294.0
2967,13,21,67,100,D,1988,47294.0,200707.0,134173.0,47294.0,11869,0,0.26062038827996276,0.7393796117200373,0,0.6574072689760342,131916.0
2973,13,21,67,100,D,1994,131916.0,220674.0,131916.0,68745.0,18933,3,0.6574072689760342,0.6574072689760342,1,0.6862130124152028,136964.0
2979,13,22,68,100,D,1946,22641.0,52087.0,22641.0,19514.0,22477,0,0.537089313248725,0.537089313248725,1,0.7862851564883168,51552.0
2981,13,22,68,100,D,1948,51552.0,83118.0,51552.0,14012.0,22477,1,0.7862851564883168,0.7862851564883168,1,0.7918346275935547,72091.0
2987,13,22,68,100,D,1954,72091.0,106258.0,72091.0,18952.0,9774,2,0.7918346275935547,0.7918346275935547,1,0.7218200367271985,88441.0
2989,13,22,68,100,D,1956,88441.0,138049.0,88441.0,34084.0,12867,0,0.7218200367271985,0.7218200367271985,1,0.7605591601074067,65996.0
2991,13,22,68,100,D,1958,65996.0,101164.0,65996.0,20777.0,12867,1,0.7605591601074067,0.7605591601074067,1,0.8737683885352698,70147.0
2997,13,22,68,100,D,1964,70147.0,86003.0,70147.0,10134.0,11068,2,0.8737683885352698,0.8737683885352698,1,0.8028304857885206,40787.0
2999,13,22,68,100,D,1966,40787.0,54942.0,40787.0,10017.0,11068,3,0.8028304857885206,0.8028304857885206,1,0.8643142961076755,45144.0
3001,13,22,68,100,D,1968,45144.0,59254.0,45144.0,7087.0,11041,0,0.8643142961076755,0.8643142961076755,1,0.8950651493085539,69449.0
3007,13,22,68,100,D,1974,69449.0,90632.0,69449.0,8142.0,3401,5,0.8950651493085539,0.8950651493085539,1,0.8858590312887776,86381.0
3009,13,22,68,100,D,1976,86381.0,106592.0,86381.0,11130.0,3401,6,0.8858590312887776,0.8858590312887776,1,0.8634115206637945,54110.0
3011,13,22,68,100,D,1978,54110.0,69837.0,54110.0,8560.0,3401,7,0.8634115206637945,0.8634115206637945,1,0.276025410716257,55008.0
3016,13,22,68,100,D,1984,55008.0,210486.0,144278.0,55008.0,16824,0,0.276025410716257,0.7239745892837429,0,0.2811069750411912,36852.0
3018,13,22,68,100,D,1986,36852.0,135656.0,94244.0,36852.0,4916,0,0.2811069750411912,0.7188930249588088,0,0.27355834370073384,54312.0
3020,13,22,68,100,D,1988,54312.0,203635.0,144227.0,54312.0,4916,0,0.27355834370073384,0.7264416562992662,0,0.3057387633074908,57064.0
3026,13,22,68,100,D,1994,57064.0,214781.0,129579.0,57064.0,16490,0,0.3057387633074908,0.6942612366925093,0,0.44085201185065925,94192.0
3032,13,23,69,100,D,1946,52616.0,121182.0,52616.0,25229.0,17392,0,0.6759072515896974,0.6759072515896974,1,0.7540201501382853,76337.0
3033,13,23,69,100,D,1948,76337.0,146426.0,76337.0,24903.0,17392,1,0.7540201501382853,0.7540201501382853,1,0.8542926416031315,58490.0
3038,13,23,69,100,D,1954,58490.0,77335.0,58490.0,9976.0,8304,3,0.8542926416031315,0.8542926416031315,1,0.7580840132970686,70238.0
3040,13,23,69,100,D,1956,70238.0,102532.0,70238.0,22414.0,8304,4,0.7580840132970686,0.7580840132970686,1,0.8011015713591446,49452.0
3042,13,23,69,100,D,1958,49452.0,69199.0,49452.0,12278.0,8304,5,0.8011015713591446,0.8011015713591446,1,0.7802438690231539,108205.0
3048,13,23,69,100,D,1964,108205.0,151744.0,108205.0,30476.0,3401,0,0.7802438690231539,0.7802438690231539,1,0.7629926068087148,69971.0
3050,13,23,69,100,D,1966,69971.0,115224.0,69971.0,21735.0,3401,1,0.7629926068087148,0.7629926068087148,1,0.7709958607255905,79162.0
3052,13,23,69,100,D,1968,79162.0,130931.0,79162.0,23513.0,3401,2,0.7709958607255905,0.7709958607255905,1,0.4560124978888701,54001.0
3058,13,23,69,100,D,1974,54001.0,139469.0,64419.0,54001.0,11686,0,0.4560124978888701,0.5439875021111299,0,0.5748667966211826,66354.0
3061,13,23,69,100,D,1978,66354.0,128572.0,66354.0,49071.0,22059,3,0.5748667966211826,0.5748667966211826,1,0.9965993241024228,188144.0
3066,13,23,69,100,D,1984,188144.0,241846.0,188144.0,642.0,27689,13,0.9965993241024228,0.9965993241024228,1,0.9638518741697366,140759.0
3067,13,23,69,100,D,1986,140759.0,146038.0,140759.0,5279.0,27689,14,0.9638518741697366,0.9638518741697366,1,0.6351708795347452,145040.0
3068,13,23,69,100,D,1988,145040.0,234898.0,145040.0,83308.0,18933,0,0.6351708795347452,0.6351708795347452,1,0.24678106394307567,40786.0
3079,13,24,70,100,D,1946,39316.0,89000.0,39316.0,24249.0,22810,0,0.6185164791945252,0.6185164791945252,1,0.5384946688376491,51262.0
3081,13,24,70,100,D,1948,51262.0,118904.0,51262.0,43933.0,8304,0,0.5384946688376491,0.5384946688376491,1,0.687123352630851,69552.0
3086,13,24,70,100,D,1954,69552.0,119289.0,69552.0,31670.0,4744,4,0.687123352630851,0.687123352630851,1,0.6288115715402658,90076.0
3088,13,24,70,100,D,1956,90076.0,164692.0,90076.0,53172.0,4744,5,0.6288115715402658,0.6288115715402658,1,0.6655205419621035,71616.0
3090,13,24,70,100,D,1958,71616.0,127368.0,71616.0,35993.0,4744,6,0.6655205419621035,0.6655205419621035,1,0.3655142207214208,51740.0
3096,13,24,70,100,D,1964,51740.0,146774.0,89814.0,51740.0,17636,0,0.3655142207214208,0.6344857792785792,0,0.3960387694900969,42291.0
3098,13,24,70,100,D,1966,42291.0,126585.0,64494.0,42291.0,24474,0,0.3960387694900969,0.603961230509903,0,0.5774699068816715,63565.0
3100,13,24,70,100,D,1968,63565.0,137502.0,63565.0,46510.0,3338,0,0.5774699068816715,0.5774699068816715,1,0.6307319645135901,82542.0
3106,13,24,70,100,D,1974,82542.0,142722.0,82542.0,48325.0,28780,0,0.6307319645135901,0.6307319645135901,1,0.5887758354088221,99761.0
3108,13,24,70,100,D,1976,99761.0,183012.0,99761.0,69677.0,21398,3,0.5887758354088221,0.5887758354088221,1,0.6067680669563817,75397.0
3110,13,24,70,100,D,1978,75397.0,134463.0,75397.0,48863.0,21398,4,0.6067680669563817,0.6067680669563817,1,0.29028928609323906,60188.0
3116,13,24,70,100,D,1984,60188.0,224207.0,147150.0,60188.0,3661,0,0.29028928609323906,0.709710713906761,0,0.3215386826222141,49225.0
3118,13,24,70,100,D,1986,49225.0,166510.0,103867.0,49225.0,3661,0,0.3215386826222141,0.6784613173777859,0,0.3011751143145005,62177.0
3120,13,24,70,100,D,1988,62177.0,225139.0,144271.0,62177.0,2830,0,0.3011751143145005,0.6988248856854995,0,0.2865631702182083,43692.0
3131,13,25,71,100,D,1946,47142.0,144953.0,47142.0,46853.0,4744,0,0.501537315814671,0.501537315814671,1,0.7154117324613218,75697.0
3133,13,25,71,100,D,1948,75697.0,168818.0,75697.0,30112.0,4744,1,0.7154117324613218,0.7154117324613218,1,0.4610304190443358,50818.0
3138,13,25,71,100,D,1954,50818.0,117851.0,59409.0,50818.0,19247,0,0.4610304190443358,0.5389695809556643,0,0.3745014925373134,62729.0
3140,13,25,71,100,D,1956,62729.0,176489.0,104771.0,62729.0,7205,0,0.3745014925373134,0.6254985074626865,0,0.37894589486946173,48726.0
3142,13,25,71,100,D,1958,48726.0,138253.0,79857.0,48726.0,3978,0,0.37894589486946173,0.6210541051305383,0,0.5433950682408908,113312.0
3148,13,25,71,100,D,1964,113312.0,217474.0,113312.0,95214.0,21398,0,0.5433950682408908,0.5433950682408908,1,0.5167403423195854,94919.0
3150,13,25,71,100,D,1966,94919.0,195721.0,94919.0,88769.0,21398,1,0.5167403423195854,0.5167403423195854,1,0.6055706016674632,114035.0
3152,13,25,71,100,D,1968,114035.0,214153.0,114035.0,74275.0,21398,2,0.6055706016674632,0.6055706016674632,1,0.37980026621680296,53357.0
3158,13,25,71,100,D,1974,53357.0,159037.0,87130.0,53357.0,1919,0,0.37980026621680296,0.620199733783197,0,0.3213264596465277,58216.0
3160,13,25,71,100,D,1976,58216.0,197605.0,122958.0,58216.0,22064,0,0.3213264596465277,0.6786735403534724,0,0.2140016729057825,31213.0
3162,13,25,71,100,D,1978,31213.0,146533.0,114641.0,31213.0,21468,0,0.2140016729057825,0.7859983270942175,0,0.27211583372255954,52434.0
3168,13,25,71,100,D,1984,52434.0,192690.0,140256.0,52434.0,2464,0,0.27211583372255954,0.7278841662774405,0,0.24524913093858633,33864.0
3170,13,25,71,100,D,1986,33864.0,151079.0,104216.0,33864.0,6639,0,0.24524913093858633,0.7547508690614136,0,0.45885676099127887,81710.0
3176,13,25,71,100,D,1994,81710.0,197802.0,96363.0,81710.0,14532,0,0.45885676099127887,0.5411432390087212,0,0.4925355325830684,103199.0
3182,13,26,72,100,D,1946,49067.0,131647.0,58061.0,49067.0,22769,0,0.45802217907549847,0.5419778209245015,0,0.586990351696234,81098.0
3184,13,26,72,100,D,1948,81098.0,166896.0,81098.0,57061.0,18668,0,0.586990351696234,0.586990351696234,1,0.3398051969064492,42004.0
3190,13,26,72,100,D,1954,42004.0,127500.0,81608.0,42004.0,7068,0,0.3398051969064492,0.6601948030935508,0,0.3061336407335076,54707.0
3192,13,26,72,100,D,1956,54707.0,183838.0,123996.0,54707.0,7068,0,0.3061336407335076,0.6938663592664924,0,0.3429199267521225,51498.0
3194,13,26,72,100,D,1958,51498.0,156142.0,98677.0,51498.0,11063,0,0.3429199267521225,0.6570800732478774,0,0.41220578326297663,71575.0
3200,13,26,72,100,D,1964,71575.0,185949.0,102064.0,71575.0,6595,0,0.41220578326297663,0.5877942167370234,0,0.26808402970581396,39203.0
3202,13,26,72,100,D,1966,39203.0,154393.0,107031.0,39203.0,14123,0,0.26808402970581396,0.731915970294186,0,0.2714064077622085,44084.0
3204,13,26,72,100,D,1968,44084.0,191190.0,118344.0,44084.0,7450,0,0.2714064077622085,0.7285935922377915,0,0.40002353945064806,54380.0
3210,13,26,72,100,D,1974,54380.0,151068.0,81562.0,54380.0,8518,3,0.40002353945064806,0.5999764605493519,0,0.33512959680992466,60511.0
3212,13,26,72,100,D,1976,60511.0,183981.0,120049.0,60511.0,17652,0,0.33512959680992466,0.6648704031900753,0,0.3097184449853712,39062.0
3214,13,26,72,100,D,1978,39062.0,139637.0,87059.0,39062.0,13516,0,0.3097184449853712,0.6902815550146288,0,0.3091256623555825,54663.0
3220,13,26,72,100,D,1984,54663.0,185920.0,122168.0,54663.0,16257,0,0.3091256623555825,0.6908743376444175,0,0.26486102164586345,43585.0
3223,13,26,72,100,D,1988,43585.0,174628.0,120973.0,43585.0,23028,0,0.26486102164586345,0.7351389783541366,0,0.5228320356335134,90852.0
3228,13,26,72,100,D,1994,90852.0,194508.0,90852.0,82917.0,13323,1,0.5228320356335134,0.5228320356335134,1,0.9548961085559579,117097.0
3233,13,27,73,100,D,1946,34269.0,123832.0,84882.0,34269.0,20850,0,0.2876098396152781,0.7123901603847219,0,0.44202933430518404,64283.0
3235,13,27,73,100,D,1948,64283.0,155794.0,81144.0,64283.0,18962,0,0.44202933430518404,0.5579706656948159,0,0.4125056041246357,58886.0
3241,13,27,73,100,D,1954,58886.0,146663.0,83866.0,58886.0,12486,0,0.4125056041246357,0.5874943958753642,0,0.40424103054600213,79456.0
3243,13,27,73,100,D,1956,79456.0,201668.0,117100.0,79456.0,5447,0,0.40424103054600213,0.5957589694539979,0,0.3972510856303595,68701.0
3245,13,27,73,100,D,1958,68701.0,179123.0,104240.0,68701.0,18962,0,0.3972510856303595,0.6027489143696405,0,0.499148510717778,90862.0
3251,13,27,73,100,D,1964,90862.0,188509.0,91172.0,90862.0,8518,0,0.499148510717778,0.500851489282222,0,0.4943703283186678,73150.0
3253,13,27,73,100,D,1966,73150.0,168186.0,74816.0,73150.0,8518,1,0.4943703283186678,0.5056296716813322,0,0.46968093149856344,83862.0
3255,13,27,73,100,D,1968,83862.0,197822.0,94689.0,83862.0,8518,2,0.46968093149856344,0.5303190685014366,0,0.5393775426902084,79946.0
3261,13,27,73,100,D,1974,79946.0,158361.0,79946.0,68273.0,18703,0,0.5393775426902084,0.5393775426902084,1,0.6741950665817669,121763.0
3263,13,27,73,100,D,1976,121763.0,190674.0,121763.0,58842.0,18703,1,0.6741950665817669,0.6741950665817669,1,0.5797118572212917,83413.0
3265,13,27,73,100,D,1978,83413.0,149590.0,83413.0,60474.0,18703,2,0.5797118572212917,0.5797118572212917,1,0.9747110694634662,81133.0
3271,13,27,73,100,D,1986,81133.0,168026.0,81133.0,2105.0,22367,0,0.9747110694634662,0.9747110694634662,1,0.4307623396983359,88476.0
3272,13,27,73,100,D,1988,88476.0,217426.0,116918.0,88476.0,22367,0,0.4307623396983359,0.5692376603016641,0,0.29848013184398464,52160.0
3278,13,27,73,100,D,1994,52160.0,204770.0,122592.0,52160.0,17106,0,0.29848013184398464,0.7015198681560154,0,0.4376148584466603,91679.0
3284,13,28,74,100,D,1946,23242.0,110769.0,83533.0,23242.0,15055,0,0.21767267618824632,0.7823273238117537,0,0.327722315150506,43299.0
3286,13,28,74,100,D,1948,43299.0,141771.0,88822.0,43299.0,20416,0,0.327722315150506,0.672277684849494,0,0.33509056275898946,40109.0
3292,13,28,74,100,D,1954,40109.0,122549.0,79587.0,40109.0,23270,0,0.33509056275898946,0.6649094372410106,0,0.3656787115983218,59444.0
3294,13,28,74,100,D,1956,59444.0,165884.0,103114.0,59444.0,18097,0,0.3656787115983218,0.6343212884016781,0,0.38970667860262637,53981.0
3296,13,28,74,100,D,1958,53981.0,141643.0,84536.0,53981.0,26503,0,0.38970667860262637,0.6102933213973736,0,0.9458285624037588,95820.0
3301,13,28,74,100,D,1964,95820.0,185316.0,95820.0,5488.0,23314,0,0.9458285624037588,0.9458285624037588,1,0.5017825765871298,78818.0
3302,13,28,74,100,D,1966,78818.0,168943.0,78818.0,78258.0,23314,1,0.5017825765871298,0.5017825765871298,1,0.486652056698633,86827.0
3304,13,28,74,100,D,1968,86827.0,190230.0,91590.0,86827.0,8874,0,0.486652056698633,0.513347943301367,0,0.8236579407366847,156439.0
3309,13,28,74,100,D,1974,156439.0,193982.0,156439.0,33493.0,27689,8,0.8236579407366847,0.8236579407366847,1,0.8087075632330419,170034.0
3311,13,28,74,100,D,1976,170034.0,215162.0,170034.0,40220.0,27689,9,0.8087075632330419,0.8087075632330419,1,0.8082542403307719,139575.0
3313,13,28,74,100,D,1978,139575.0,182945.0,139575.0,33112.0,27689,10,0.8082542403307719,0.8082542403307719,1,0.5772496232296473,123334.0
3318,13,28,74,100,D,1984,123334.0,218061.0,123334.0,90324.0,18703,5,0.5772496232296473,0.5772496232296473,1,0.7149403459521942,103908.0
3320,13,28,74,100,D,1986,103908.0,152121.0,103908.0,41430.0,18703,6,0.7149403459521942,0.7149403459521942,1,0.9317783567739268,141976.0
3322,13,28,74,100,D,1988,141976.0,152371.0,141976.0,10395.0,18703,7,0.9317783567739268,0.9317783567739268,1,0.6441198319288716,110987.0
3327,13,28,74,100,D,1994,110987.0,195967.0,110987.0,61321.0,26583,4,0.6441198319288716,0.6441198319288716,1,0.6101356121803394,133084.0
3333,13,29,75,100,D,1946,39466.0,104492.0,60769.0,39466.0,29882,0,0.39373472340001,0.6062652765999901,0,0.3685724760113488,46247.0
3335,13,29,75,100,D,1948,46247.0,131746.0,79229.0,46247.0,21864,0,0.3685724760113488,0.6314275239886512,0,0.9483504597079503,42084.0
3340,13,29,75,100,D,1954,42084.0,132603.0,42084.0,2292.0,5157,0,0.9483504597079503,0.9483504597079503,1,0.682694071465258,148871.0
3346,13,29,75,100,D,1964,148871.0,229315.0,148871.0,69193.0,20991,6,0.682694071465258,0.682694071465258,1,0.47576159216856784,91174.0
3348,13,29,75,100,D,1966,91174.0,202125.0,100464.0,91174.0,6591,0,0.47576159216856784,0.5242384078314322,0,0.4213374526106425,83464.0
3350,13,29,75,100,D,1968,83464.0,209305.0,114629.0,83464.0,13156,0,0.4213374526106425,0.5786625473893575,0,0.5531445130575775,96204.0
3356,13,29,75,100,D,1974,96204.0,184092.0,96204.0,77718.0,21724,0,0.5531445130575775,0.5531445130575775,1,0.49709388699781587,95361.0
3358,13,29,75,100,D,1976,95361.0,214222.0,96476.0,95361.0,21719,0,0.49709388699781587,0.5029061130021841,0,0.47059923780131396,80512.0
3360,13,29,75,100,D,1978,80512.0,184223.0,90572.0,80512.0,21719,1,0.47059923780131396,0.529400762198686,0,0.25876043993721304,48301.0
3366,13,29,75,100,D,1984,48301.0,198662.0,138362.0,48301.0,28620,0,0.25876043993721304,0.7412395600627869,0,0.25537349325606057,34194.0
3368,13,29,75,100,D,1986,34194.0,141008.0,99704.0,34194.0,29233,0,0.25537349325606057,0.7446265067439394,0,0.27872026804314365,51243.0
3370,13,29,75,100,D,1988,51243.0,192661.0,132608.0,51243.0,29233,0,0.27872026804314365,0.7212797319568564,0,0.5848636083135121,97619.0
3376,13,29,75,100,D,1994,97619.0,186704.0,97619.0,69290.0,16173,9,0.5848636083135121,0.5848636083135121,1,0.6551326772144014,126210.0
3382,13,30,76,100,D,1946,32193.0,115709.0,80469.0,32193.0,15570,0,0.2857485221281355,0.7142514778718645,0,0.3332969607030102,45817.0
3384,13,30,76,100,D,1948,45817.0,141340.0,91649.0,45817.0,7671,0,0.3332969607030102,0.6667030392969898,0,0.6019626084086067,100296.0
3389,13,30,76,100,D,1954,100296.0,170904.0,100296.0,66319.0,20991,1,0.6019626084086067,0.6019626084086067,1,0.548165891948781,100003.0
3391,13,30,76,100,D,1956,100003.0,186451.0,100003.0,82429.0,20991,2,0.548165891948781,0.548165891948781,1,0.334874937147,57275.0
3399,13,30,76,100,D,1966,57275.0,174975.0,113759.0,57275.0,12138,0,0.334874937147,0.665125062853,0,0.34045477400972124,60938.0
3401,13,30,76,100,D,1968,60938.0,187892.0,118052.0,60938.0,22433,0,0.34045477400972124,0.6595452259902788,0,0.45586800319347115,61668.0
3407,13,30,76,100,D,1974,61668.0,142010.0,73608.0,61668.0,28781,0,0.45586800319347115,0.5441319968065289,0,0.45907376514107495,75951.0
3409,13,30,76,100,D,1976,75951.0,171515.0,89493.0,75951.0,2681,0,0.45907376514107495,0.5409262348589251,0,0.39751585743840795,52455.0
3411,13,30,76,100,D,1978,52455.0,141263.0,79502.0,52455.0,2681,0,0.39751585743840795,0.602484142561592,0,0.5376118256387381,86777.0
3418,13,30,76,100,D,1986,86777.0,170179.0,86777.0,74635.0,26583,0,0.5376118256387381,0.5376118256387381,1,0.5902064462733919,128364.0
3420,13,30,76,100,D,1988,128364.0,225712.0,128364.0,89126.0,26583,1,0.5902064462733919,0.5902064462733919,1,0.5009384326636104,97686.0
3431,13,31,77,100,D,1946,42519.0,112172.0,66395.0,42519.0,10749,0,0.39039058339607396,0.609609416603926,0,0.4229941204418577,56979.0
3433,13,31,77,100,D,1948,56979.0,140614.0,77725.0,56979.0,20216,0,0.4229941204418577,0.5770058795581423,0,0.3218707015130674,41184.0
3439,13,31,77,100,D,1954,41184.0,130980.0,86768.0,41184.0,17508,0,0.3218707015130674,0.6781292984869326,0,0.26893725799781965,42924.0
3441,13,31,77,100,D,1956,42924.0,162449.0,116682.0,42924.0,15812,0,0.26893725799781965,0.7310627420021804,0,0.34603913147220233,46408.0
3443,13,31,77,100,D,1958,46408.0,137481.0,87704.0,46408.0,7179,0,0.34603913147220233,0.6539608685277977,0,0.3101436593013928,34024.0
3449,13,31,77,100,D,1966,34024.0,111953.0,75680.0,34024.0,3438,0,0.3101436593013928,0.6898563406986071,0,0.422843530078293,61947.0
3451,13,31,77,100,D,1968,61947.0,151590.0,84554.0,61947.0,12081,0,0.422843530078293,0.577156469921707,0,0.40543994778955383,59639.0
3457,13,31,77,100,D,1974,59639.0,158239.0,87458.0,59639.0,23269,0,0.40543994778955383,0.5945600522104462,0,0.3494839320322711,62032.0
3459,13,31,77,100,D,1976,62032.0,185175.0,115464.0,62032.0,18119,0,0.3494839320322711,0.6505160679677289,0,0.25936517014583926,53513.0
3466,13,31,77,100,D,1984,53513.0,224488.0,152810.0,53513.0,17949,0,0.25936517014583926,0.7406348298541607,0,0.45283376166644124,66956.0
3468,13,31,77,100,D,1986,66956.0,160995.0,80904.0,66956.0,15174,0,0.45283376166644124,0.5471662383335588,0,0.48805484316433223,98958.0
3470,13,31,77,100,D,1988,98958.0,220487.0,103802.0,98958.0,27926,0,0.48805484316433223,0.5119451568356678,0,0.2930898713417053,49502.0
3481,13,32,78,100,D,1946,72523.0,143367.0,72523.0,64325.0,5116,0,0.5299529404887174,0.5299529404887174,1,0.5721432453492408,87376.0
3483,13,32,78,100,D,1948,87376.0,159171.0,87376.0,65341.0,5116,1,0.5721432453492408,0.5721432453492408,1,0.3695690883190883,45661.0
3489,13,32,78,100,D,1954,45661.0,126699.0,77891.0,45661.0,22595,0,0.3695690883190883,0.6304309116809117,0,0.31581882593017435,49834.0
3491,13,32,78,100,D,1956,49834.0,160023.0,107959.0,49834.0,11042,0,0.31581882593017435,0.6841811740698257,0,0.5238774218636818,68706.0
3493,13,32,78,100,D,1958,68706.0,135827.0,68706.0,62443.0,27689,0,0.5238774218636818,0.5238774218636818,1,0.4659526903440758,75660.0
3498,13,32,78,100,D,1964,75660.0,162377.0,86717.0,75660.0,5674,0,0.4659526903440758,0.5340473096559242,0,0.2882111717163674,36195.0
3500,13,32,78,100,D,1966,36195.0,130526.0,89390.0,36195.0,5674,0,0.2882111717163674,0.7117888282836325,0,0.3170138227232084,43254.0
3502,13,32,78,100,D,1968,43254.0,149440.0,93188.0,43254.0,19781,0,0.3170138227232084,0.6829861772767916,0,0.6192594869072647,88660.0
3508,13,32,78,100,D,1974,88660.0,150039.0,88660.0,54511.0,12319,4,0.6192594869072647,0.6192594869072647,1,0.9794867832687869,101419.0
3510,13,32,78,100,D,1976,101419.0,185140.0,101419.0,2124.0,12319,5,0.9794867832687869,0.9794867832687869,1,0.5568286377776804,76251.0
3511,13,32,78,100,D,1978,76251.0,145471.0,76251.0,60687.0,12319,6,0.5568286377776804,0.5568286377776804,1,0.9382967772586903,94798.0
3519,13,33,79,100,D,1946,36069.0,128444.0,89778.0,36069.0,9903,0,0.2866099311068202,0.7133900688931798,0,0.3395216759424832,50695.0
3521,13,33,79,100,D,1948,50695.0,154934.0,98618.0,50695.0,12251,0,0.3395216759424832,0.6604783240575167,0,0.306695951444792,31279.0
3527,13,33,79,100,D,1954,31279.0,103838.0,70708.0,31279.0,3520,0,0.306695951444792,0.693304048555208,0,0.26428302114975566,37150.0
3529,13,33,79,100,D,1956,37150.0,142212.0,103419.0,37150.0,4349,0,0.26428302114975566,0.7357169788502443,0,0.3390491735648368,37805.0
3531,13,33,79,100,D,1958,37805.0,113708.0,73698.0,37805.0,18491,0,0.3390491735648368,0.6609508264351632,0,0.4033816128636308,65727.0
3537,13,33,79,100,D,1964,65727.0,166490.0,97213.0,65727.0,14941,0,0.4033816128636308,0.5966183871363692,0,0.3238723300079564,42334.0
3539,13,33,79,100,D,1966,42334.0,134571.0,88378.0,42334.0,9430,0,0.3238723300079564,0.6761276699920435,0,0.3035423929341946,47977.0
3541,13,33,79,100,D,1968,47977.0,160629.0,110080.0,47977.0,20656,0,0.3035423929341946,0.6964576070658054,0,0.3162621205844562,45043.0
3547,13,33,79,100,D,1974,45043.0,149091.0,97380.0,45043.0,3718,0,0.3162621205844562,0.6837378794155439,0,0.28074681929455575,48855.0
3549,13,33,79,100,D,1976,48855.0,182755.0,125163.0,48855.0,29836,0,0.28074681929455575,0.7192531807054443,0,0.4140012927329938,58286.0
3551,13,33,79,100,D,1978,58286.0,147454.0,82501.0,58286.0,3220,0,0.4140012927329938,0.5859987072670062,0,0.7983191012205115,148085.0
3564,13,34,80,100,D,1946,22368.0,87969.0,64217.0,22368.0,13819,0,0.2583357394467864,0.7416642605532136,0,0.3823585927401041,43777.0
3566,13,34,80,100,D,1948,43777.0,116575.0,70715.0,43777.0,22685,0,0.3823585927401041,0.6176414072598959,0,0.9965746682940273,50624.0
3570,13,34,80,100,D,1954,50624.0,130945.0,50624.0,174.0,21146,0,0.9965746682940273,0.9965746682940273,1,0.4795034450163574,64931.0
3572,13,34,80,100,D,1958,64931.0,138753.0,70482.0,64931.0,26627,0,0.4795034450163574,0.5204965549836427,0,0.5065930899984487,91436.0
3578,13,34,80,100,D,1964,91436.0,187916.0,91436.0,89056.0,12319,0,0.5065930899984487,0.5065930899984487,1,0.5900539307877303,90044.0
3580,13,34,80,100,D,1966,90044.0,163406.0,90044.0,62559.0,12326,0,0.5900539307877303,0.5900539307877303,1,0.5396610624367497,96520.0
3582,13,34,80,100,D,1968,96520.0,188123.0,96520.0,82333.0,12319,1,0.5396610624367497,0.5396610624367497,1,0.3007291728755638,45408.0
3588,13,34,80,100,D,1974,45408.0,156365.0,105585.0,45408.0,11453,0,0.3007291728755638,0.6992708271244362,0,0.31516722308495615,58247.0
3590,13,34,80,100,D,1976,58247.0,192196.0,126566.0,58247.0,16401,0,0.31516722308495615,0.6848327769150439,0,0.567500076756967,110902.0
3604,13,35,81,100,D,1946,45414.0,106894.0,58040.0,45414.0,9172,0,0.4389777099000522,0.5610222900999478,0,0.4962773177411712,61790.0
3606,13,35,81,100,D,1948,61790.0,128536.0,62717.0,61790.0,7468,0,0.4962773177411712,0.5037226822588288,0,0.3535267921275679,49218.0
3611,13,35,81,100,D,1954,49218.0,141650.0,90002.0,49218.0,21037,0,0.3535267921275679,0.6464732078724321,0,0.32418509926923034,59534.0
